data_mode,is_mock_data,neighbourhood,district,profile,lat,lon,population,area_km2,population_density,demographic_source,demographic_assignment_method,share_age_20_34,share_families_with_children,share_international_background,bakery_count,bar_count,bench_count,bike_accessibility_count,bike_parking_count,cafe_count,cinema_count,green_space_access_count,indoor_culture_count,library_access_count,museum_count,nightlife_count,pharmacy_count,public_toilet_count,supermarket_count,bakery_density,bar_density,bench_density,bike_accessibility,bike_parking_density,cafe_density,cinema_density,green_space_access,indoor_culture_density,library_access,museum_density,nightlife_density,pharmacy_density,public_toilet_density,supermarket_density,osm_assignment_method,osm_amenity_count,osm_outside_boundary_count,cafe_density_norm,bakery_density_norm,library_access_norm,green_space_access_norm,bench_density_norm,indoor_culture_density_norm,bike_accessibility_norm,bar_density_norm,nightlife_density_norm,supermarket_density_norm,pharmacy_density_norm,public_toilet_density_norm,bike_parking_density_norm,cinema_density_norm,museum_density_norm,share_age_20_34_norm,share_families_with_children_norm,share_international_background_norm,population_density_norm,hygge_score,nightlife_pressure,low_nightlife_pressure,low_population_pressure,calm_score,youth_pulse_score,daily_convenience_score,rainy_day_index,family_friendliness_score,international_friendliness_score,international_friendliness_available
osm_amenities_official_boundaries_official_demographics,False,Amager Vest,Amager Vest,Official Copenhagen district boundary with OSM amenity and demographic signals.,55.64296290538346,12.566359500917294,92300,19.307,4780.6495053607505,KK Statistikbank,official_district_name_match,0.345807150595883,0.2165687835044001,0.2692307692307692,19,37,476,310,310,69,1,82,51,6,0,37,5,20,33,0.9840990314393744,1.9164033770135185,24.65427047184959,16.05635261822137,16.05635261822137,3.5738333247008858,0.05179468586523023,4.247164240948879,2.641528979126742,0.31076811519138137,0.0,1.9164033770135185,0.25897342932615114,1.0358937173046046,1.7092246335525976,official_boundary_point_in_polygon,11463,2906,0.07102167858862346,0.14454349817265905,0.22610144402082896,0.0,0.04260243461451363,0.023786681303242727,0.1556411467920137,0.04708240423088333,0.042478098766505004,0.0,0.05503750623103959,0.03563980213715286,0.1556411467920137,0.06008183560366706,0.0,0.6264111864871631,0.4876792656221897,1.0,0.0,0.09555518724715606,0.03605441647217425,0.9639455835278258,1.0,0.47687791146827485,0.27795741118352957,0.04569971081832595,0.07674532005252027,0.2989211360145722,0.6923252297463539,True
osm_amenities_official_boundaries_official_demographics,False,Brønshøj-Husum,Brønshøj-Husum,Official Copenhagen district boundary with OSM amenity and demographic signals.,55.71019963198113,12.487802193,44975,8.716,5160.050481872419,KK Statistikbank,official_district_name_match,0.2336409116175653,0.273488255872064,0.2348638132295719,5,8,213,16,16,14,0,50,15,3,1,8,3,7,15,0.5736576411197798,0.9178522257916476,24.437815511702617,1.8357044515832952,1.8357044515832952,1.6062413951353833,0.0,5.736576411197798,1.7209729233593394,0.34419458467186786,0.11473152822395595,0.9178522257916476,0.34419458467186786,0.8031206975676917,1.7209729233593394,official_boundary_point_in_polygon,11463,2906,0.0,0.03365201973712188,0.2730244561060452,0.11597363067413054,0.04125412067874866,0.0,0.0,0.0,0.0,0.0024061681478079093,0.16726161717205262,0.006773232363277548,0.0,0.0,0.024444839890981635,0.0,1.0,0.7524739181549133,0.0258154814081141,0.06752292804546951,0.00516309628162282,0.9948369037183772,0.9741845185918859,0.5101951249662408,0.0,0.034731188707690264,0.05949385919940536,0.44840683220450483,0.5002671110267877,True
osm_amenities_official_boundaries_official_demographics,False,Vanløse,Vanløse,Official Copenhagen district boundary with OSM amenity and demographic signals.,55.689971207371045,12.491360345324459,40847,6.68,6114.820359281437,KK Statistikbank,official_district_name_match,0.2900580213969202,0.2213218536338313,0.1303890126569882,3,8,163,94,94,17,0,34,23,1,2,8,2,5,14,0.44910179640718567,1.1976047904191618,24.40119760479042,14.07185628742515,14.07185628742515,2.5449101796407185,0.0,5.089820359281437,3.44311377245509,0.14970059880239522,0.29940119760479045,1.1976047904191618,0.29940119760479045,0.7485029940119761,2.0958083832335332,official_boundary_point_in_polygon,11463,2906,0.03388194051448127,0.0,0.0,0.06561373097714383,0.0410260250317155,0.04449920814717539,0.1339213713563004,0.013190534422099264,0.011900599239097193,0.07917624779809418,0.10827511294963492,0.0,0.1339213713563004,0.0,0.063790785775388,0.31507081807292925,0.5304606948583964,0.0,0.09078063844566274,0.04025720522871102,0.028257077912761233,0.9717429220872388,0.9092193615543372,0.48646682424893933,0.13888466882757666,0.0682333588107106,0.030128483913132997,0.3261779698122548,0.027136319095677555,True
osm_amenities_official_boundaries_official_demographics,False,Indre By,Indre By,Official Copenhagen district boundary with OSM amenity and demographic signals.,55.69004590184182,12.609015158071507,58224,10.44,5577.0114942528735,KK Statistikbank,official_district_name_match,0.347829073921407,0.1623870090392768,0.1975645781808189,42,231,1862,792,792,306,9,84,422,9,49,255,6,92,35,4.022988505747127,22.126436781609197,178.35249042145594,75.86206896551724,75.86206896551724,29.31034482758621,0.8620689655172414,8.045977011494253,40.42145593869732,0.8620689655172414,4.693486590038314,24.42528735632184,0.574712643678161,8.812260536398467,3.352490421455939,official_boundary_point_in_polygon,11463,2906,1.0,0.9655789847394022,1.0,0.29579596437550976,1.0,1.0,0.8101985317956244,1.0,1.0,0.33655739365286025,0.47082103411358145,1.0,0.8101985317956244,1.0,1.0,0.6377029566388964,0.0,0.4838282601829037,0.05418665051259052,0.8702260955467993,0.8108373301025181,0.18916266989748187,0.9458133494874095,0.4609593900243603,0.8550811826555585,0.44034326159505627,1.0,0.3389893519479053,0.5660479766237018,True
osm_amenities_official_boundaries_official_demographics,False,Nørrebro,Nørrebro,Official Copenhagen district boundary with OSM amenity and demographic signals.,55.69597257698473,12.549447619045802,79779,4.096,19477.294921875,KK Statistikbank,official_district_name_match,0.4127025909073816,0.1803153161997133,0.1711227265320447,17,77,456,209,209,86,1,70,73,3,1,81,4,16,27,4.150390625,18.798828125,111.328125,51.025390625,51.025390625,20.99609375,0.244140625,17.08984375,17.822265625,0.732421875,0.244140625,19.775390625,0.9765625,3.90625,6.591796875,official_boundary_point_in_polygon,11463,2906,0.6998909891504583,1.0,0.8180055480072465,1.0,0.5825002768604058,0.4160488822648366,0.5383678069140915,0.8431008609814827,0.8021946373348574,1.0,1.0,0.39159746425777087,0.5383678069140915,0.283203125,0.05201690051020408,1.0,0.16136909055052714,0.29338229996687226,1.0,0.751365276092635,0.8601635105088672,0.1398364894911328,0.0,0.5049127413817692,0.8406530868047976,0.5968333078085954,0.47466748219407207,0.5233876421760627,0.4117555480496433,True
osm_amenities_official_boundaries_official_demographics,False,Bispebjerg,Bispebjerg,Official Copenhagen district boundary with OSM amenity and demographic signals.,55.71447853351351,12.535224037246621,55985,6.81,8220.99853157122,KK Statistikbank,official_district_name_match,0.3889256050727873,0.1650865848312143,0.2252746271322675,11,24,154,97,97,21,0,65,17,2,2,25,3,7,22,1.6152716593245229,3.524229074889868,22.61380323054332,14.243759177679884,14.243759177679884,3.0837004405286343,0.0,9.544787077826726,2.49632892804699,0.2936857562408223,0.2936857562408223,3.671071953010279,0.4405286343612335,1.0279001468428781,3.2305433186490458,official_boundary_point_in_polygon,11463,2906,0.053329971460568885,0.3150712946011028,0.20212177318095723,0.41250136571143486,0.029892213443988836,0.020034788826288227,0.13580280198186614,0.12289254109526547,0.11712123045031392,0.3115813980553547,0.29411982551104343,0.03464850615389581,0.13580280198186614,0.0,0.06257304683988132,0.8672134321039702,0.02429833929767225,0.6834083406662803,0.23409076892776065,0.17135963831438078,0.14311222793603146,0.8568877720639685,0.7659092310722393,0.5590963107422026,0.4022246031793897,0.1673447256278102,0.07027841463456758,0.3150665746865139,0.5165674320586495,True
osm_amenities_official_boundaries_official_demographics,False,Vesterbro-Kongens Enghave,Vesterbro-Kongens Enghave,Official Copenhagen district boundary with OSM amenity and demographic signals.,55.649677726158274,12.544273941928058,85072,8.24,10324.271844660194,KK Statistikbank,official_district_name_match,0.3570504984013541,0.2032967032967033,0.2266550686477337,23,118,740,768,768,102,3,78,128,2,5,125,6,20,27,2.79126213592233,14.320388349514563,89.80582524271844,93.20388349514563,93.20388349514563,12.37864077669903,0.3640776699029126,9.466019417475728,15.533980582524272,0.24271844660194175,0.6067961165048543,15.169902912621358,0.7281553398058253,2.4271844660194173,3.2766990291262137,official_boundary_point_in_polygon,11463,2906,0.38883768275805464,0.632795884887915,0.13057548895455184,0.4063680926436545,0.4484362818715636,0.35692080777623597,1.0,0.6319392078452768,0.6062784224519635,0.3210345527030953,0.6728831873836572,0.20817608455903933,1.0,0.4223300970873786,0.1292847235981771,0.6892015492831772,0.3682199383324436,0.6933508936095125,0.37720324483505707,0.4532060496272118,0.5720107403555732,0.4279892596444268,0.6227967551649429,0.5111139155695351,0.597899994826148,0.4356528841084092,0.28391513931841345,0.41762660608346036,0.6042075268769007,True
osm_amenities_official_boundaries_official_demographics,False,Valby,Valby,Official Copenhagen district boundary with OSM amenity and demographic signals.,55.658072977933024,12.498536862113163,66321,9.209,7201.759148658921,KK Statistikbank,official_district_name_match,0.3548348185340993,0.2127136264516456,0.2168694681925785,14,13,207,140,140,39,1,59,21,2,0,13,2,11,22,1.5202519274622652,1.4116625040721034,22.478010641763493,15.202519274622652,15.202519274622652,4.2349875122163105,0.1085894233901618,6.406775980019546,2.280377891193398,0.2171788467803236,0.0,1.4116625040721034,0.2171788467803236,1.1944836572917799,2.3889673145835597,official_boundary_point_in_polygon,11463,2906,0.0948865255102167,0.28939922839318594,0.09472381303104553,0.16815896850409137,0.029046351377806003,0.014454728319859785,0.14629617185066537,0.023283509419538457,0.021006557097295635,0.1392181512975336,0.0,0.0553068046671223,0.14629617185066537,0.1259637311325877,0.0,0.6768277132058965,0.45297977157819674,0.6228706526745378,0.1647389301899895,0.12554365802163572,0.05077766026084368,0.9492223397391564,0.8352610698100105,0.5067434265749603,0.2905232239687331,0.0695944526612287,0.06445189931762339,0.3367925915865486,0.4508026044662696,True
osm_amenities_official_boundaries_official_demographics,False,Amager Øst,Amager Øst,Official Copenhagen district boundary with OSM amenity and demographic signals.,55.66555091958257,12.633843566605279,64254,9.318,6895.685769478429,KK Statistikbank,official_district_name_match,0.3643664207675787,0.1897865278720676,0.193093037009369,8,21,166,194,194,33,0,53,26,2,0,23,3,23,28,0.8585533376261001,2.2537025112685125,17.814981755741577,20.819918437432925,20.819918437432925,3.5415325177076626,0.0,5.687915861772913,2.7902983472848253,0.21463833440652502,0.0,2.4683408456750375,0.32195750160978753,2.4683408456750375,3.0049366816913503,official_boundary_point_in_polygon,11463,2906,0.06985575719102327,0.11062404480727406,0.0911575227625509,0.1121846589575514,0.0,0.027630803044543014,0.20777708590206634,0.06298630075765425,0.06595737098811341,0.2653748852171921,0.13797854929483624,0.2132799557306718,0.20777708590206634,0.0,0.0,0.730058545572057,0.24661756383372013,0.4516222345477144,0.14391285930740808,0.08809966217152321,0.08021148704826572,0.9197885129517342,0.856087140692592,0.484879246797337,0.32756080860153297,0.15682284391674572,0.04122160445917461,0.2839871351162007,0.353956120349597,True
osm_amenities_official_boundaries_official_demographics,False,Østerbro,Østerbro,Official Copenhagen district boundary with OSM amenity and demographic signals.,55.713860930693706,12.596918260165422,82115,9.744,8427.237274220033,KK Statistikbank,official_district_name_match,0.3345186628508799,0.1972480712638193,0.1605309626742982,25,33,518,337,337,82,2,48,70,2,4,33,7,39,34,2.5656814449917897,3.386699507389163,53.160919540229884,34.585385878489326,34.585385878489326,8.41543513957307,0.20525451559934318,4.926108374384237,7.183908045977011,0.20525451559934318,0.41050903119868637,3.386699507389163,0.7183908045977012,4.002463054187192,3.4893267651888342,official_boundary_point_in_polygon,11463,2906,0.24578285888370713,0.5718493602103736,0.07798481711525188,0.05286623659469652,0.22017245737934552,0.14115935246732123,0.35843640280158917,0.11640792317374649,0.10502410271000215,0.3645828558408669,0.6600246867210161,0.4035290053143386,0.35843640280158917,0.23809523809523808,0.08746355685131195,0.563368732122975,0.3137774167108142,0.21709571213392456,0.24812381774970935,0.23882759807380072,0.13876676492662854,0.8612332350733715,0.7518761822502906,0.4531303545596717,0.3083281191610426,0.33519083239617165,0.15848154572198953,0.3167872558416543,0.23807180423477994,True
